SMILES,pIC50,num_atoms,logP
COc1ccc(CNc2cccn3nc(Nc4cccc(N5CCN(C)CC5)c4)nc23)cc1,5,33,3.8454
COc1cccc(CNc2cccn3nc(Nc4ccc(OC)nc4)nc23)c1,5,28,3.4972
CS(=O)(=O)c1ccc(-c2cccn3nc(NCCc4ccccn4)nc23)cc1,5,28,2.8494
O=C1NC(=O)C(c2c[nH]c3ccccc23)=C1Nc1ccc(OCCNc2ccnc(F)c2)cc1,5.01,34,3.6725
COc1ccc(-c2nc3[nH]cc(Cl)c(NCC4CCN(C)CC4)c-3n2)cc1,5.02,27,3.9922
COc1cccc(NC(=O)c2cnc(N3CCN(c4ccccc4OC)CC3)c([N+](=O)[O-])c2)c1,5.02,34,3.5859
O=c1[nH]c(CSc2nnc(NCC3CCCO3)s2)nc2sc(-c3ccccc3)cc12,5.05,30,4.3863
COc1cccc(NC(=O)c2cnc(Nc3cccc(OC)c3)c([N+](=O)[O-])c2)c1,5.07,29,4.0029
CC(=O)Nc1ccc(-c2ccnc(NCCCNC(=O)c3c(Cl)cccc3Cl)n2)cc1,5.09,31,4.6408
c1ccc2c(c1)CCCC2Nc1ccnc(-n2cnc3ccncc32)n1,5.14,26,3.7
CN(c1[nH]cnc2nccc1-2)C1CC(NS(=O)(=O)CC2CC2)C1,5.14,23,1.2061
O=C(O)Cc1cnc(Nc2[nH]nc3ccc(-c4ncccc4Cl)cc23)s1,5.15,26,4.1055
CC1CC(C)CN(c2ccc(Nc3ncc(C(F)(F)F)c(-c4cc5ccc(C#N)cc5o4)n3)cc2)C1,5.15,36,7.00618000000001
O=c1[nH]c2cnc(-n3cnc4ccccc43)nc2n1C1CCOc2c(F)cccc21,5.16,30,2.9695
Nc1ncc(-c2cnn(CC(=O)N3CCOCC3)c2)c2scc(-c3ccc(Oc4ccccc4)cc3)c12,5.16,37,5.06010000000001
Cc1ccccc1S(=O)(=O)Nc1cnc(N2CCCCC2)c(C(=O)O)c1,5.16,26,2.87932
Fc1cccc(C2CCCN2c2ccc3ncc(-c4ccccn4)n3n2)c1,5.17,27,4.2719
O=c1cc(-c2nc(C3CCNCC3)[nH]c2-c2ccc(F)cc2)cc[nH]1,5.18,25,3.0381
O=C(Nc1nc2cccc(-c3ccc(CN4CCCCC4)cc3)n2n1)C1CC1,5.19,28,3.7307
COc1ccc(C(F)(F)F)cc1-c1cccn2nc(Nc3ccc(C4CCN(C(=O)OC(C)(C)C)CC4)cc3)nc12,5.19,41,7.28180000000001
CN1CCN(c2cncc(Nc3nc4c(NCc5ccccc5N(C)S(C)(=O)=O)cccn4n3)n2)CC1,5.19,37,2.0226
CS(=O)(=O)c1ccc(-c2cccn3nc(NCc4ccccn4)nc23)cc1,5.19,27,2.8069
CC(=O)Nc1ccc(-c2nc(Nc3ccc(N4CCOCC4)cc3)ncc2F)cc1,5.19,30,3.8213
O=C1NN(c2ccccc2)C(=O)C1=Cc1ccc(-c2ccccc2Cl)o1,5.22,26,4.0614
Cc1nc2cnc3[nH]ccc3c2n1C1CCCCC1,5.22,19,3.72622
CC(C)c1ccc(-c2nc3cc(C(N)=O)ccc3n2CCN)cc1,5.23,24,2.8843
c1cc2c(ncc3ncn(C4CCCCC4)c32)[nH]1,5.24,18,3.4178
Oc1ccc(C2Nc3ccccc3-c3ccnc4[nH]cc2c34)c(Cl)c1,5.25,25,5.1038
CN(c1[nH]cnc2nccc1-2)C1CC(NS(=O)(=O)c2cccc(C(C)(C)O)c2)C1,5.25,29,2.0826
OC1CCN(c2cc(-c3cnc4ccc(N5CCCC5c5cccc(F)c5)nn34)ccn2)CC1,5.25,34,4.233
CN1CCN(Cc2ccc(-c3cccc4nc(NC(=O)C5CC5)nn34)cc2)CC1,5.29,29,2.4922
Oc1ccc(C2Nc3ccccc3-c3ccnc4[nH]cc2c34)cc1Br,5.3,25,5.2129
CN(C)c1cccc(Nc2nc(N)n(C(=O)c3c(F)cccc3F)n2)c1,5.3,26,2.6366
COc1ccc(-c2nc3[nH]cc(Br)c(NCC4CCN(C)CC4)c-3n2)cc1,5.32,27,4.1013
NCCn1c(-c2ccc(C(F)(F)F)cc2)nc2cc(C(N)=O)ccc21,5.32,25,2.7797
NCCn1c(-c2cccnc2N)nc2cc(C(N)=O)ccc21,5.33,22,0.7381
N#Cc1ccc(-c2cnc3ccc(NCc4ccccc4)nn23)cc1,5.33,25,3.88008
CN(C(=O)NC1CCCN(S(C)(=O)=O)C1)c1cnc2[nH]ccc2n1,5.36,24,0.5277
CCOP(=O)(CCn1cc(-c2ccc(-c3nc(-c4cc[nH]c(=O)c4)c(-c4ccc(F)cc4)[nH]3)cc2)nn1)OCC,5.38,40,5.76270000000001
NCCn1c(C2CCCCC2)nc2cc(C(N)=O)ccc21,5.39,21,2.1416
CNCCn1c(C2CCC(O)CC2)nc2cc(C(N)=O)ccc21,5.41,23,1.3731
CC(C)N1CCC(S(=O)(=O)CC2CC(N(C)c3[nH]cnc4nccc3-4)C2)C1,5.42,27,2.0218
O=C1NC(=O)C(c2cn(CCCn3ccnc3)c3ccccc23)=C1Nc1ccccc1,5.42,31,3.4077
O=C(CCc1nc2ccccc2c(=O)[nH]1)Nc1ncc(Cc2ccc(F)c(F)c2)s1,5.43,30,3.8199
O=C(O)c1cc(-c2nc(-c3cc[nH]c(=O)c3)c(-c3ccc(F)cc3)[nH]2)ccc1O,5.43,29,3.6419
O=c1[nH]c2cnc(-n3cnc4ccc(F)cc43)nc2n1C1CCOCC1,5.47,26,1.9491
CN(c1[nH]cnc2nccc1-2)C1CC(NS(=O)(=O)N2CCC(C#N)C2)C1,5.47,26,0.55658
O=c1[nH]c2cnc(-n3cnc4ccccc43)nc2n1C1CCOCC1,5.49,25,1.81
NC(=O)c1ccc2c(c1)nc(C1CCC(O)CC1)n2CCO,5.5,22,1.146
NCCn1c(C2CCNCC2)nc2cc(C(N)=O)ccc21,5.5,21,0.5609
NC(=O)c1cc(-c2ccnc(N)n2)[nH]c1-c1ccccc1,5.5,21,1.8198
CNCCn1c(C2CCNCC2)nc2cc(C(N)=O)ccc21,5.51,22,0.821599999999999
Cc1ccc(OCC(C)C)c(-c2cccn3nc(Nc4ccc5c(c4)CCNCC5)nc23)c1,5.51,33,5.17132
Cc1ccc(Cl)cc1-c1[nH]c(-c2ccnc(N)n2)cc1C(=O)N(C)C,5.51,25,3.38452
Cc1c(NC(=O)c2ccc(C(C)(C)C)cc2)cccc1-c1nc2ncnc-2c(Nc2ccc(C(=O)N3CCOCC3)cc2)[nH]1,5.51,44,6.04572000000001
COc1ccc(-c2nc3[nH]cc(Cl)c(NCC4CCCNC4)c-3n2)cc1,5.52,26,3.65
c1cc(-c2ccncc2)c2nc(Nc3ccc(OCCN4CCCC4)cc3)nn2c1,5.52,30,4.0095
COc1ccccc1Nc1nc2c(-c3cccc(C(F)(F)F)c3)cccn2n1,5.52,28,5.1673
COc1cc(N2CCN(C)CC2)ccc1Nc1nc2c(NCc3cccnc3N(C)S(C)(=O)=O)cccn2n1,5.52,39,2.6362
Cc1nn(C)c(C)c1Nc1nc2c(-c3ccc(S(C)(=O)=O)cc3)cccn2n1,5.52,28,2.89374
CS(=O)(=O)c1ccc(Oc2cccn3nc(Nc4cnn(CCN5CCCC5)c4)nc23)cc1,5.52,33,2.961
Oc1cccn2nc(Nc3ccc(C(F)(F)F)cc3)nc12,5.52,21,3.1973
